Epoch, Average Loss, Average Accuracy, Average Precision, Average Recall, Average F1 Score
0, 8.87629, 0.604, 0.459, 0.799, 0.580
1, 2.38918, 0.810, 0.668, 0.861, 0.751
2, 1.04306, 0.858, 0.748, 0.867, 0.803
3, 0.59403, 0.877, 0.779, 0.878, 0.825
4, 0.43280, 0.887, 0.794, 0.894, 0.841
5, 0.35086, 0.898, 0.813, 0.901, 0.855
6, 0.30418, 0.908, 0.833, 0.900, 0.865
7, 0.27887, 0.913, 0.847, 0.902, 0.873
8, 0.26248, 0.918, 0.859, 0.902, 0.879
9, 0.24550, 0.921, 0.867, 0.902, 0.884
10, 0.23490, 0.925, 0.875, 0.903, 0.889
11, 0.22680, 0.926, 0.880, 0.901, 0.890
12, 0.22010, 0.928, 0.884, 0.901, 0.892
13, 0.21597, 0.929, 0.889, 0.900, 0.895
14, 0.21419, 0.930, 0.891, 0.898, 0.894
15, 0.20843, 0.931, 0.896, 0.896, 0.896
16, 0.20508, 0.932, 0.898, 0.896, 0.897
17, 0.20217, 0.932, 0.902, 0.894, 0.898
18, 0.20116, 0.933, 0.904, 0.893, 0.898
19, 0.20050, 0.933, 0.905, 0.892, 0.898
20, 0.19783, 0.933, 0.907, 0.890, 0.898
21, 0.19713, 0.933, 0.909, 0.889, 0.899
22, 0.19675, 0.933, 0.910, 0.888, 0.898
23, 0.19547, 0.934, 0.910, 0.887, 0.898
24, 0.19441, 0.933, 0.912, 0.885, 0.898
25, 0.19195, 0.934, 0.913, 0.887, 0.900
26, 0.19321, 0.934, 0.914, 0.884, 0.899
27, 0.19220, 0.934, 0.914, 0.884, 0.898
28, 0.19025, 0.934, 0.915, 0.884, 0.899
29, 0.19064, 0.934, 0.916, 0.883, 0.899
30, 0.19061, 0.934, 0.916, 0.883, 0.899
31, 0.18968, 0.934, 0.916, 0.881, 0.898
32, 0.18819, 0.934, 0.917, 0.881, 0.899
33, 0.18825, 0.934, 0.918, 0.882, 0.899
34, 0.18761, 0.934, 0.918, 0.881, 0.899
35, 0.18823, 0.934, 0.917, 0.881, 0.898
36, 0.18688, 0.934, 0.917, 0.881, 0.899
37, 0.18874, 0.934, 0.918, 0.879, 0.898
38, 0.18783, 0.934, 0.919, 0.878, 0.897
39, 0.18704, 0.934, 0.918, 0.878, 0.898
40, 0.18660, 0.934, 0.918, 0.880, 0.898
41, 0.18483, 0.935, 0.919, 0.880, 0.898
42, 0.18509, 0.934, 0.919, 0.881, 0.899
43, 0.18601, 0.935, 0.919, 0.881, 0.900
44, 0.18494, 0.935, 0.919, 0.882, 0.900
45, 0.18462, 0.935, 0.919, 0.881, 0.899
46, 0.18458, 0.935, 0.919, 0.881, 0.900
47, 0.18574, 0.935, 0.920, 0.879, 0.898
48, 0.18439, 0.935, 0.919, 0.882, 0.900
49, 0.18485, 0.935, 0.919, 0.882, 0.900
50, 0.18421, 0.935, 0.919, 0.882, 0.900
51, 0.18230, 0.936, 0.919, 0.884, 0.901
52, 0.18324, 0.935, 0.920, 0.883, 0.901
53, 0.18362, 0.935, 0.918, 0.883, 0.900
54, 0.18423, 0.935, 0.919, 0.882, 0.900
55, 0.18370, 0.935, 0.920, 0.883, 0.901
56, 0.18390, 0.935, 0.919, 0.883, 0.900
57, 0.18301, 0.936, 0.920, 0.883, 0.901
58, 0.18285, 0.935, 0.919, 0.884, 0.901
59, 0.18277, 0.935, 0.919, 0.883, 0.900
60, 0.18185, 0.936, 0.919, 0.884, 0.901
61, 0.18179, 0.936, 0.920, 0.885, 0.902
62, 0.18199, 0.935, 0.919, 0.883, 0.901
63, 0.18250, 0.935, 0.919, 0.884, 0.901
64, 0.18242, 0.936, 0.920, 0.883, 0.901
65, 0.18162, 0.936, 0.919, 0.885, 0.902
66, 0.18172, 0.936, 0.919, 0.885, 0.902
67, 0.18033, 0.936, 0.918, 0.885, 0.901
68, 0.17994, 0.936, 0.919, 0.886, 0.902
69, 0.18095, 0.936, 0.919, 0.886, 0.902
70, 0.17861, 0.937, 0.920, 0.887, 0.903
71, 0.18065, 0.936, 0.918, 0.886, 0.902
72, 0.17853, 0.936, 0.918, 0.887, 0.902
73, 0.18074, 0.936, 0.919, 0.886, 0.902
74, 0.17936, 0.936, 0.918, 0.886, 0.902
75, 0.17998, 0.935, 0.918, 0.885, 0.901
